sn	participant_id	age	sex	trained	untrained	good
100	subj100	nd	nd	22911.91211.12291.21911	92122.21291.12129.11911	1
101	subj101	nd	nd	91211.22911.92122.12291	21911.21291.12129.11911	1
102	subj102	nd	nd	22911.11911.21291.12291	21911.92122.91211.12129	1
103	subj103	nd	nd	92122.21911.12291.21291	91211.22911.12129.11911	1
104	subj104	nd	nd	21291.22911.21911.91211	92122.12129.12291.11911	1
105	subj105	nd	nd	12129.91211.12291.11911	21911.92122.22911.21291	1
106	subj106	nd	nd	11911.12291.12129.22911	21911.92122.91211.21291	1
107	subj107	nd	nd	21911.91211.22911.12129	92122.21291.12291.11911	1
108	subj108	nd	nd	92122.12291.11911.21911	91211.22911.21291.12129	1
109	subj109	nd	nd	12129.21291.11911.21911	92122.91211.22911.12291	1
110	subj110	nd	nd	21291.92122.21911.22911	91211.12129.12291.11911	1
111	subj111	nd	nd	21291.22911.91211.92122	21911.12129.12291.11911	1
112	subj112	nd	nd	12291.21291.91211.92122	21911.22911.12129.11911	1
113	subj113	nd	nd	21291.11911.21911.91211	92122.22911.12129.12291	1
114	subj114	nd	nd	12129.21911.12291.92122	91211.22911.21291.11911	1
115	subj115	nd	nd	12129.12291.21291.11911	21911.92122.91211.22911	1
116	subj116	nd	nd	21911.91211.21291.11911	92122.22911.12129.12291	1
117	subj117	nd	nd	12291.11911.22911.91211	21911.92122.21291.12129	1
118	subj118	nd	nd	22911.91211.12129.92122	21911.21291.12291.11911	1
119	subj119	nd	nd	12291.21911.92122.21291	91211.22911.12129.11911	1
120	subj120	nd	nd	21911.22911.91211.12129	92122.21291.12291.11911	1